,AF: Exports: Lead Time: Median Case,AF: Export: Cost: Border Compliance,AF: Export: Cost: Documentary Compliance,AF: Exports: Lead Time: Border Compliance,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Outside Region,AF: Imports: % of Total Goods Imports: Residual,AF: Goods Trade: % of GDP,AF: Exports: % of Goods Exports: Fuel,AF: Exports: % of Goods Exports: Food,AF: Exports: % of Commercial Service Exports: Services: Transport,AF: Imports: % of Total Goods Imports: The Arab World,AF: Exports: % of Total Goods Exports: The Arab World,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Middle East & North Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Suriname,AF: Trade Balance: Other Countries Not Elsewhere Classified: Cuba,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bahamas,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Vincent & The Grenadines,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zimbabwe,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Europe & Central Asia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Trinidad and Tobago,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Greenland,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bolivia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Paraguay,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Peru,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Sub-Saharan Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Chile,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Brazil,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Antigua and Barbuda,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Latin America & The Caribbean,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Costa Rica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominica,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Colombia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Anguilla,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Sub-Saharan Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Kitts and Nevis,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Barbados,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Uruguay,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guyana,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Togo,AF: (DC)Exports: Number of Documents,AF: (DC)Exports: Lead Time,AF: (DC)Imports: % of Goods Imports: Agricultural Raw Materials,AF: (DC)Imports: Lead Time,AF: Imports: % of Commercial Service Imports: Services: Travel,AF: Exports: % of Commercial Service Exports: Services: Insurance & Financial,AF: Imports: % of Commercial Service Imports: Services: Transport,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: (Old)Eastern Germany,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Belize,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Bermuda,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Grenada,AF: (DC)Trade Balance: Other Countries Not Elsewhere Classified: North Korea,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Europe & Central Asia,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: Middle East & North Africa,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Dominican Republic,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Panama,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: East Asia & Pacific,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: St. Lucia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: El Salvador,AF: Imports: Goods,AF: Imports: High-Income Economies: % of Total Goods Imports,AF: Imports: % of Goods Imports: Manufactures,AF: Exports: Lead Time: Documentary Compliance,AF: Imports: % of Commercial Service Imports: Services: Insurance & Financial,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Outside Region,"AF: Imports: % of Commercial Service Imports: Services: Computer, Communication & Other Services",AF: Imports: Commercial Service,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region,AF: Imports: % of Goods Imports: Food,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: South Asia,AF: (DC)Trade Balance: Emerging and Developing Economies: Western Hemisphere: Netherlands Antilles,"AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Venezuela, Republic Bolivariana de",AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Jamaica,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Uganda,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Argentina,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Honduras,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Ecuador,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Guatemala,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: Latin America & The Caribbean,AF: Imports: Low- and Middle-Income Economies: % of Total Goods Imports: Within Region: East Asia & Pacific,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Aruba,AF: Trade Balance: Emerging and Developing Economies: Sub-Saharan Africa: Zambia,"AF: Exports: % of Commercial Service Exports: Services: Computer, Communication & Other Services",AF: Exports: Commercial Service,AF: Exports: High-Income Economies: % of Total Goods Exports,AF: Exports: Goods,AF: Imports: % of Goods Imports: Ores & Metals,AF: Imports: % of Goods Imports: Fuel,AF: Imports: Goods by Reporting Economy,AF: Exports: Goods by Reporting Economy,AF: Exports: % of Total Goods Exports: Residual,AF: Exports: % of Goods Exports: Agricultural Raw Materials,AF: Exports: % of Goods Exports: Ores & Metals,AF: Exports: % of Goods Exports: Manufactures,AF: Exports: % of Commercial Service Exports: Services: Travel,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region,AF: Exports: Low- and Middle-Income Economies: % of Total Goods Exports: Within Region: South Asia,AF: Trade Balance: Emerging and Developing Economies: Western Hemisphere: Mexico
Region,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Oxford Economics,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,World,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Quarterly, ending ""Mar, June, Sep, Dec""","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,Day,USD,USD,Hour,%,%,%,%,%,%,%,%,USD mn,%,USD mn,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,USD mn,%,USD mn,USD mn,USD mn,USD bn,USD mn,USD mn,Number,Day,%,Day,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,%,%,USD mn,USD mn,%,USD mn,USD mn,USD mn,%,%,Hour,%,%,%,USD mn,%,%,%,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,USD mn,%,%,USD mn,USD mn,USD mn,%,USD mn,%,USD mn,%,%,USD mn,USD mn,%,%,%,%,%,%,%,USD mn
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,Oxford Economics,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,Organisation for Economic Co-operation and Development,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,International Monetary Fund,International Monetary Fund,World Bank,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,International Monetary Fund,International Monetary Fund,International Monetary Fund,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,International Monetary Fund
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Discontinued,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,266346602,386840427,386843057,386845687,275579802,275218702,274448202,275437702,275416602,335161202,298229102,298287002,293658401,275162202,407179037,407403037,407375627,407322747,407364087,275127802,407054567,406931357,407698567,407692037,407883637,275682502,407836927,407457087,407523067,275626102,407395867,406643387,406741387,406567377,341780102,406791307,406610677,406784267,377030917,408020447,408049067,264517702,264537702,274911302,264707202,275346802,275476702,275326902,406969677,407157227,407098237,407203907,406642977,275609702,275645002,407618147,407923817,275597402,407696447,407695217,275055102,275076502,275013002,386848317,274993002,275096402,275286902,275306802,275259402,274932402,275181002,406715007,407537247,407567717,407018637,407151537,407011067,406991087,407032767,275143602,275114402,406942007,406966647,406905707,275768802,275788702,275559802,275538402,275034102,274953502,275239102,275720902,275700502,275395502,275517502,275496402,275866002,275741202,275663502,406948407
SR Code,SR102947437,SR105951687,SR105951697,SR105951667,SR102952437,SR102967727,SR102947407,SR102952557,SR102952547,SR102952617,SR102967717,SR102952507,SR4454424,SR102967697,SR117703647,SR117703697,SR117703377,SR117703637,SR117703307,SR102967677,SR117703657,SR117703507,SR117703417,SR117703597,SR117703607,SR102952497,SR117703437,SR117703427,SR117703347,SR102952467,SR117703457,SR117703467,SR117703447,SR117703337,SR112709187,SR117703617,SR117703387,SR117703667,SR5043327,SR117703537,SR117703277,SR102947447,SR102947427,SR102967747,SR102947467,SR102967837,SR102952597,SR102967827,SR117703717,SR117703397,SR117703407,SR117703517,SR117703707,SR102952457,SR102952477,SR117703477,SR117703587,SR102952447,SR117703627,SR117703497,SR102967597,SR102967637,SR102967777,SR105951677,SR102967807,SR102967657,SR102967817,SR102967617,SR102967647,SR102967757,SR102967707,SR117703577,SR117703677,SR117703557,SR117703287,SR117703357,SR117703547,SR117703487,SR117703527,SR102967687,SR102967667,SR117703327,SR117703367,SR117703297,SR102952607,SR102952397,SR102952417,SR102952377,SR102967787,SR102967767,SR102967607,SR102952387,SR102952517,SR102952537,SR102952577,SR102952567,SR102952627,SR102952427,SR102952487,SR117703567
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,12/2007,12/2014,12/2014,12/2014,12/1963,12/1964,12/1960,12/1967,12/1962,12/2008,12/1967,12/1963,03/1980,12/1967,03/2006,03/2001,03/1983,03/1993,03/1983,12/1973,03/1984,09/1982,03/1991,06/2009,06/1982,12/1973,03/1992,06/1984,03/2000,12/1982,09/1985,03/2002,03/1989,03/2000,12/1986,03/1999,09/1990,09/1989,12/1960,03/2000,03/1991,12/2005,12/2005,12/1962,12/2005,12/1980,12/2008,12/1979,03/1981,09/1985,06/1982,03/1988,03/2008,12/1973,12/1963,03/1985,03/2015,12/1963,03/2001,03/1997,12/1960,12/1964,12/1962,12/2014,12/1979,12/1967,12/1979,12/1979,12/1964,12/1962,12/1964,03/2000,06/1995,06/1982,03/2001,06/1989,03/2001,03/1998,03/1992,12/1984,12/1967,06/1982,06/2013,03/1992,12/1979,12/1979,12/1960,12/1960,12/1962,12/1962,12/1964,12/1960,12/1960,12/1962,12/1966,12/1962,12/1979,12/1960,12/1960,03/1988
Last Obs. Date,12/2012,12/2018,12/2018,12/2018,12/2017,12/2017,12/2018,12/2015,12/2016,12/2017,12/2017,12/2017,12/2020,12/2017,12/2011,03/2019,12/2014,12/2016,03/2019,12/2017,12/2015,03/2019,03/2019,12/2015,03/2019,12/2017,03/2019,03/2019,12/2017,12/2017,03/2019,03/2019,09/2018,03/2019,12/2017,03/2019,03/2019,03/2019,12/2020,12/2015,09/2017,12/2014,12/2014,12/2008,12/2014,12/2017,12/2017,12/2017,06/1990,12/2008,12/2007,12/2008,12/2008,12/2017,12/2017,03/2019,03/2019,12/2017,12/2015,03/2019,12/2018,12/2017,12/2016,12/2018,12/2017,12/2017,12/2017,12/2017,12/2017,12/2016,12/2017,12/2002,12/2014,12/2016,03/2019,03/2019,12/2016,03/2019,06/2018,12/2017,12/2017,03/2019,03/2019,03/2019,12/2017,12/2017,12/2017,12/2018,12/2016,12/2016,12/2017,12/2017,12/2017,12/2016,12/2016,12/2016,12/2017,12/2017,12/2017,03/2019
Last Update Time,19/04/2018,25/01/2019,25/01/2019,25/01/2019,25/01/2019,25/01/2019,28/06/2019,19/04/2018,19/04/2018,25/04/2019,25/01/2019,25/01/2019,04/07/2018,25/01/2019,01/07/2019,08/07/2019,08/07/2019,08/07/2019,08/07/2019,25/01/2019,01/07/2019,08/07/2019,01/07/2019,01/07/2019,08/07/2019,25/01/2019,01/07/2019,08/07/2019,08/07/2019,25/01/2019,01/07/2019,08/07/2019,01/07/2019,08/07/2019,25/01/2019,08/07/2019,08/07/2019,01/07/2019,31/12/2018,01/07/2019,01/07/2019,30/04/2019,25/01/2019,25/01/2019,25/01/2019,08/07/2019,08/07/2019,08/07/2019,01/07/2019,01/07/2019,08/07/2019,01/07/2019,08/07/2019,25/01/2019,25/01/2019,08/07/2019,01/07/2019,25/01/2019,01/07/2019,08/07/2019,10/07/2019,25/01/2019,19/04/2018,25/01/2019,25/04/2019,25/01/2019,28/06/2019,25/04/2019,25/01/2019,19/04/2018,25/01/2019,08/07/2019,08/07/2019,08/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,01/07/2019,25/01/2019,25/01/2019,08/07/2019,01/07/2019,08/07/2019,28/06/2019,25/04/2019,25/01/2019,10/07/2019,19/04/2018,19/04/2018,25/01/2019,25/01/2019,25/01/2019,19/04/2018,19/04/2018,19/04/2018,25/04/2019,25/01/2019,25/01/2019,01/07/2019
